""	"Unnamed: 0"	"filename"	"names"	"district"	"born"	"resides"	"gender"	"party"
116	116	"116.jpg"	"Debbie Lesko"	"Arizona 8"	"November 14, 1958"	"Peoria"	"woman"	"republican"
117	117	"117.jpg"	"Debbie Wasserman Schultz"	"Florida 23"	"September 27, 1966"	"Weston"	"woman"	"democratic"
118	118	"118.jpg"	"Deborah Ross"	"North Carolina 2"	"June 20, 1963"	"Raleigh"	"woman"	"democratic"
119	119	"119.jpg"	"Derek Kilmer"	"Washington 6"	"January 1, 1974"	"Gig Harbor"	"man"	"democratic"
120	120	"120.jpg"	"Diana DeGette"	"Colorado 1"	"July 29, 1957"	"Denver"	"woman"	"democratic"
121	121	"121.jpg"	"Diana Harshbarger"	"Tennessee 1"	"January 1, 1960"	"Kingsport"	"woman"	"republican"
122	122	"122.jpg"	"Dina Titus"	"Nevada 1"	"May 23, 1950"	"Las Vegas"	"woman"	"democratic"
123	123	"123.jpg"	"Don Bacon"	"Nebraska 2"	"August 16, 1963"	"Papillion"	"man"	"republican"
124	124	"124.jpg"	"Don Beyer"	"Virginia 8"	"June 20, 1950"	"Alexandria"	"man"	"democratic"
125	125	"125.jpg"	"Donald McEachin"	"Virginia 4"	"October 10, 1961"	"Richmond"	"man"	"democratic"
126	126	"126.jpg"	"Donald Norcross"	"New Jersey 1"	"December 13, 1958"	"Camden"	"man"	"democratic"
127	127	"127.jpg"	"Donald Payne Jr."	"New Jersey 10"	"December 17, 1958"	"Newark"	"man"	"democratic"
128	128	"128.jpg"	"Doris Matsui"	"California 6"	"September 25, 1944"	"Sacramento"	"woman"	"democratic"
129	129	"129.jpg"	"Doug LaMalfa"	"California 1"	"July 2, 1960"	"Oroville"	"man"	"republican"
130	130	"130.jpg"	"Doug Lamborn"	"Colorado 5"	"May 24, 1954"	"Colorado Springs"	"man"	"republican"
131	131	"131.jpg"	"Drew Ferguson"	"Georgia 3"	"November 15, 1966"	"West Point"	"man"	"republican"
132	132	"132.jpg"	"Dusty Johnson"	"South Dakota at-large"	"September 30, 1976"	"Mitchell"	"man"	"republican"
133	133	"133.jpg"	"Dutch Ruppersberger"	"Maryland 2"	"January 31, 1946"	"Cockeysville"	"man"	"democratic"
134	134	"134.jpg"	"Dwight Evans"	"Pennsylvania 3"	"May 16, 1954"	"Philadelphia"	"man"	"democratic"
135	135	"135.jpg"	"Earl Blumenauer"	"Oregon 3"	"August 16, 1948"	"Portland"	"man"	"democratic"
136	136	"136.jpg"	"Ed Case"	"Hawaii 1"	"September 27, 1952"	"Kaneohe"	"man"	"democratic"
137	137	"137.jpg"	"Ed Perlmutter"	"Colorado 7"	"May 1, 1953"	"Arvada"	"man"	"democratic"
138	138	"138.jpg"	"Eddie Bernice Johnson"	"Texas 30"	"December 3, 1935"	"Dallas"	"woman"	"democratic"
139	139	"139.jpg"	"Elaine Luria"	"Virginia 2"	"August 15, 1975"	"Norfolk"	"woman"	"democratic"
140	140	"140.jpg"	"Eleanor Holmes Norton"	"District of Columbia at-large"	"December 13, 1937"	"Washington, D.C."	"woman"	"democratic"
141	141	"141.jpg"	"Elise Stefanik"	"New York 21"	"July 2, 1984"	"Schuylerville"	"woman"	"republican"
142	142	"142.jpg"	"Elissa Slotkin"	"Michigan 8"	"July 10, 1976"	"Holly"	"woman"	"democratic"
143	143	"143.jpg"	"Emanuel Cleaver"	"Missouri 5"	"October 26, 1944"	"Kansas City"	"man"	"democratic"
144	144	"144.jpg"	"Eric Swalwell"	"California 15"	"November 16, 1980"	"Dublin"	"man"	"democratic"
145	145	"145.jpg"	"Frank J. Mrvan"	"Indiana 1"	"April 16, 1969"	"Highland"	"man"	"democratic"
146	146	"146.jpg"	"Frank Lucas"	"Oklahoma 3"	"January 6, 1960"	"Cheyenne"	"man"	"republican"
147	147	"147.jpg"	"Frank Pallone"	"New Jersey 6"	"October 30, 1951"	"Long Branch"	"man"	"democratic"
148	148	"148.jpg"	"Fred Keller"	"Pennsylvania 12"	"October 23, 1965"	"Middleburg"	"man"	"republican"
149	149	"149.jpg"	"Fred Upton"	"Michigan 6"	"April 23, 1953"	"St. Joseph"	"man"	"republican"
150	150	"150.jpg"	"Frederica Wilson"	"Florida 24"	"November 5, 1942"	"Miami Gardens"	"woman"	"democratic"
151	151	"151.jpg"	"French Hill"	"Arkansas 2"	"December 5, 1956"	"Little Rock"	"man"	"republican"
152	152	"152.jpg"	"G. K. Butterfield"	"North Carolina 1"	"April 27, 1947"	"Wilson"	"man"	"democratic"
153	153	"153.jpg"	"Garret Graves"	"Louisiana 6"	"January 31, 1972"	"Baton Rouge"	"man"	"republican"
154	154	"154.jpg"	"Gary Palmer"	"Alabama 6"	"May 14, 1954"	"Hoover"	"man"	"republican"
155	155	"155.jpg"	"Gerry Connolly"	"Virginia 11"	"March 30, 1950"	"Fairfax"	"man"	"democratic"
156	156	"156.jpg"	"Glenn Grothman"	"Wisconsin 6"	"July 3, 1955"	"Glenbeulah"	"man"	"republican"
157	157	"157.jpg"	"Glenn Thompson"	"Pennsylvania 15"	"July 27, 1959"	"Howard"	"man"	"republican"
158	158	"158.jpg"	"Grace Meng"	"New York 6"	"October 1, 1975"	"Queens"	"woman"	"democratic"
159	159	"159.jpg"	"Grace Napolitano"	"California 32"	"December 4, 1936"	"Norwalk"	"woman"	"democratic"
160	160	"160.jpg"	"Greg Murphy"	"North Carolina 3"	"March 5, 1963"	"Greenville"	"man"	"democratic"
161	161	"161.jpg"	"Greg Pence"	"Indiana 6"	"November 14, 1956"	"Columbus"	"man"	"republican"
162	162	"162.jpg"	"Greg Stanton"	"Arizona 9"	"March 8, 1970"	"Phoenix"	"man"	"democratic"
163	163	"163.jpg"	"Greg Steube"	"Florida 17"	"May 19, 1978"	"Sarasota"	"man"	"republican"
164	164	"164.jpg"	"Gregorio Sablan"	"Northern Mariana Islands at-large"	"January 19, 1955"	"Saipan"	"man"	"democratic"
165	165	"165.jpg"	"Gregory Meeks"	"New York 5"	"September 25, 1953"	"Queens"	"man"	"democratic"
166	166	"166.jpg"	"Gus Bilirakis"	"Florida 12"	"February 8, 1963"	"Palm Harbor"	"man"	"republican"
167	167	"167.jpg"	"Guy Reschenthaler"	"Pennsylvania 14"	"April 17, 1983"	"Peters Township"	"man"	"republican"
168	168	"168.jpg"	"Gwen Moore"	"Wisconsin 4"	"April 18, 1951"	"Milwaukee"	"woman"	"democratic"
169	169	"169.jpg"	"Hakeem Jeffries"	"New York 8"	"August 4, 1970"	"Brooklyn"	"man"	"democratic"
170	170	"170.jpg"	"Hal Rogers"	"Kentucky 5"	"December 31, 1937"	"Somerset"	"man"	"republican"
171	171	"171.jpg"	"Haley Stevens"	"Michigan 11"	"June 24, 1983"	"Rochester Hills"	"woman"	"democratic"
172	172	"172.jpg"	"Hank Johnson"	"Georgia 4"	"October 2, 1954"	"Lithonia"	"man"	"democratic"
173	173	"173.jpg"	"Henry Cuellar"	"Texas 28"	"September 19, 1955"	"Laredo"	"man"	"democratic"
174	174	"174.jpg"	"Ilhan Omar"	"Minnesota 5"	"October 4, 1982"	"Minneapolis"	"woman"	"democratic"
175	175	"175.jpg"	"Jack Bergman"	"Michigan 1"	"February 2, 1947"	"Watersmeet"	"man"	"republican"
176	176	"176.jpg"	"Jackie Speier"	"California 14"	"May 14, 1950"	"Hillsborough"	"woman"	"democratic"
177	177	"177.jpg"	"Jahana Hayes"	"Connecticut 5"	"March 8, 1973"	"Wolcott"	"woman"	"democratic"
178	178	"178.jpg"	"Jaime Herrera Beutler"	"Washington 3"	"November 3, 1978"	"Battle Ground"	"woman"	"republican"
179	179	"179.jpg"	"Jake Auchincloss"	"Massachusetts 4"	"January 29, 1988"	"Newton"	"man"	"democratic"
180	180	"180.jpg"	"Jake Ellzey"	"Texas 6"	"January 24, 1970"	"Midlothian"	"man"	"republican"
181	181	"181.jpg"	"Jake LaTurner"	"Kansas 2"	"February 17, 1988"	"Topeka"	"man"	"republican"
182	182	"182.jpg"	"Jamaal Bowman"	"New York 16"	"April 1, 1976"	"Yonkers"	"man"	"democratic"
183	183	"183.jpg"	"James Comer"	"Kentucky 1"	"August 19, 1972"	"Tompkinsville"	"man"	"republican"
184	184	"184.jpg"	"James Langevin"	"Rhode Island 2"	"April 22, 1964"	"Warwick"	"man"	"democratic"
185	185	"185.jpg"	"Jamie Raskin"	"Maryland 8"	"December 13, 1962"	"Takoma Park"	"man"	"democratic"
186	186	"186.jpg"	"Jan Schakowsky"	"Illinois 9"	"May 26, 1944"	"Evanston"	"woman"	"democratic"
187	187	"187.jpg"	"Jared Golden"	"Maine 2"	"July 25, 1982"	"Lewiston"	"man"	"democratic"
188	188	"188.jpg"	"Jared Huffman"	"California 2"	"February 18, 1964"	"San Rafael"	"man"	"democratic"
189	189	"189.jpg"	"Jason Crow"	"Colorado 6"	"March 15, 1979"	"Centennial"	"man"	"democratic"
190	190	"190.jpg"	"Jason Smith"	"Missouri 8"	"June 16, 1980"	"Salem"	"man"	"republican"
191	191	"191.jpg"	"Jay Obernolte"	"California 8"	"August 18, 1970"	"Big Bear Lake"	"man"	"republican"
192	192	"192.jpg"	"Jeff Duncan"	"South Carolina 3"	"January 7, 1966"	"Laurens"	"man"	"republican"
193	193	"193.jpg"	"Jeff Van Drew"	"New Jersey 2"	"February 23, 1953"	"Dennis Township"	"man"	"republican"
194	194	"194.jpg"	"Jennifer Wexton"	"Virginia 10"	"May 27, 1968"	"Leesburg"	"woman"	"democratic"
195	195	"195.jpg"	"Jenniffer González"	"Puerto Rico at-large"	"August 5, 1976"	"San Juan"	"woman"	"republican"
196	196	"196.jpg"	"Jerry Carl"	"Alabama 1"	"June 17, 1958"	"Mobile"	"man"	"republican"
197	197	"197.jpg"	"Jerry McNerney"	"California 9"	"June 18, 1951"	"Stockton"	"man"	"democratic"
198	198	"198.jpg"	"Jerry Nadler"	"New York 10"	"June 13, 1947"	"Manhattan"	"man"	"democratic"
199	199	"199.jpg"	"Jesús ""Chuy"" García"	"Illinois 4"	"April 12, 1956"	"Chicago"	"man"	"democratic"
200	200	"200.jpg"	"Jim Baird"	"Indiana 4"	"June 4, 1945"	"Greencastle"	"man"	"republican"
201	201	"201.jpg"	"Jim Banks"	"Indiana 3"	"July 16, 1979"	"Columbia City"	"man"	"republican"
202	202	"202.jpg"	"Jim Clyburn"	"South Carolina 6"	"July 21, 1940"	"Columbia"	"man"	"democratic"
203	203	"203.jpg"	"Jim Cooper"	"Tennessee 5"	"June 19, 1954"	"Nashville"	"man"	"democratic"
204	204	"204.jpg"	"Jim Costa"	"California 16"	"April 13, 1952"	"Fresno"	"man"	"democratic"
205	205	"205.jpg"	"Jim Himes"	"Connecticut 4"	"July 5, 1966"	"Cos Cob"	"man"	"democratic"
206	206	"206.jpg"	"Jim Jordan"	"Ohio 4"	"February 17, 1964"	"Urbana"	"man"	"republican"
207	207	"207.jpg"	"Jim McGovern"	"Massachusetts 2"	"November 20, 1959"	"Worcester"	"man"	"democratic"
208	208	"208.jpg"	"Jimmy Gomez"	"California 34"	"November 25, 1974"	"Los Angeles"	"man"	"democratic"
209	209	"209.jpg"	"Jimmy Panetta"	"California 20"	"October 1, 1969"	"Carmel Valley"	"man"	"democratic"
210	210	"210.jpg"	"Joaquin Castro"	"Texas 20"	"September 16, 1974"	"San Antonio"	"man"	"democratic"
211	211	"211.jpg"	"Jodey Arrington"	"Texas 19"	"March 9, 1972"	"Lubbock"	"man"	"republican"
212	212	"212.jpg"	"Jody Hice"	"Georgia 10"	"April 22, 1960"	"Greensboro"	"man"	"republican"
213	213	"213.jpg"	"Joe Courtney"	"Connecticut 2"	"April 6, 1953"	"Vernon"	"man"	"democratic"
214	214	"214.jpg"	"Joe Morelle"	"New York 25"	"April 29, 1957"	"Irondequoit"	"man"	"democratic"
215	215	"215.jpg"	"Joe Neguse"	"Colorado 2"	"May 13, 1984"	"Lafayette"	"man"	"democratic"
216	216	"216.jpg"	"Joe Wilson"	"South Carolina 2"	"July 31, 1947"	"Springdale"	"man"	"republican"
217	217	"217.jpg"	"John Carter"	"Texas 31"	"November 6, 1941"	"Round Rock"	"man"	"republican"
218	218	"218.jpg"	"John Curtis"	"Utah 3"	"May 10, 1960"	"Provo"	"man"	"republican"
219	219	"219.jpg"	"John Garamendi"	"California 3"	"January 24, 1945"	"Walnut Grove"	"man"	"democratic"
220	220	"220.jpg"	"John Joyce"	"Pennsylvania 13"	"February 8, 1957"	"Hollidaysburg"	"man"	"republican"
221	221	"221.jpg"	"John Katko"	"New York 24"	"November 9, 1962"	"Syracuse"	"man"	"republican"
222	222	"222.jpg"	"John Larson"	"Connecticut 1"	"July 22, 1948"	"East Hartford"	"man"	"democratic"
223	223	"223.jpg"	"John Moolenaar"	"Michigan 4"	"May 8, 1961"	"Midland"	"man"	"republican"
224	224	"224.jpg"	"John Rose"	"Tennessee 6"	"February 23, 1965"	"Cookeville"	"man"	"republican"
225	225	"225.jpg"	"John Rutherford"	"Florida 4"	"September 2, 1952"	"Jacksonville"	"man"	"republican"
226	226	"226.jpg"	"John Sarbanes"	"Maryland 3"	"May 22, 1962"	"Baltimore"	"man"	"democratic"
227	227	"227.jpg"	"John Yarmuth"	"Kentucky 3"	"November 4, 1947"	"Louisville"	"man"	"democratic"
228	228	"228.jpg"	"Josh Gottheimer"	"New Jersey 5"	"March 8, 1975"	"Wyckoff"	"man"	"democratic"
229	229	"229.jpg"	"Josh Harder"	"California 10"	"August 1, 1986"	"Turlock"	"man"	"democratic"
230	230	"230.jpg"	"Joyce Beatty"	"Ohio 3"	"March 12, 1950"	"Columbus"	"woman"	"democratic"
231	231	"231.jpg"	"Juan Vargas"	"California 51"	"March 7, 1961"	"San Diego"	"man"	"democratic"
232	232	"232.jpg"	"Judy Chu"	"California 27"	"July 7, 1953"	"Monterey Park"	"woman"	"democratic"
233	233	"233.jpg"	"Julia Brownley"	"California 26"	"August 28, 1952"	"Westlake Village"	"woman"	"democratic"
234	234	"234.jpg"	"Julia Letlow"	"Louisiana 5"	"March 16, 1981"	"Start"	"woman"	"republican"
235	235	"235.jpg"	"Kai Kahele"	"Hawaii 2"	"March 28, 1974"	"Hilo"	"man"	"democratic"
